ID,Data,Departamento,Categoria,Tipo_Transacao,Valor,Fornecedor,Status,Descricao,Mes,Ano,Trimestre,Responsavel,Centro_Custo,Prioridade,Valor_Acumulado,Media_Mensal_Dept,Dia_Semana,Semana_Ano,Dias_Desde_Hoje,Faixa_Valor,Percentil_Valor,Dept_count,Dept_sum,Dept_mean,Dept_std,Dept_min,Dept_max,Ranking_Valor
TXN0001,2025-05-23,Planejamento,Manutenção,Despesa,472.66,Gamma Tecnologia,Aprovado,Transação 1 - Segurança,5,2025,Q2,Funcionário 6,CC7912,Alta,472.66,7422.436666666667,Friday,21,78,Baixo,0.018,102,1404744.54,13772.01,11714.36,472.66,45425.11,983.0
TXN0002,2023-09-07,Saúde,Consultoria,Despesa,3357.71,Iota Materiais,Pendente,Transação 2 - Segurança,9,2023,Q3,Funcionário 27,CC4611,Média,3357.71,11470.431,Thursday,36,702,Médio,0.15,89,1288783.81,14480.72,12901.72,163.99,49438.54,851.0
TXN0003,2025-04-02,Recursos Humanos,Serviços,Transferência,41424.37,Eta Manutenção,Rejeitado,Transação 3 - Capacitação,4,2025,Q2,Funcionário 10,CC4527,Média,41424.37,15357.538,Wednesday,14,129,Muito Alto,0.934,89,1279819.63,14380.0,11595.07,161.24,45740.14,67.0
TXN0004,2023-11-20,Jurídico,Combustível,Transferência,5760.92,Epsilon Consultoria,Aprovado,Transação 4 - Limpeza,11,2023,Q4,Funcionário 35,CC3045,Média,5760.92,7872.933333333333,Monday,47,628,Alto,0.269,87,1277333.07,14681.99,13824.88,897.98,49781.72,732.0
TXN0005,2023-10-27,Educação,Combustível,Transferência,4468.36,Delta Suprimentos,Aprovado,Transação 5 - Material de Escritório,10,2023,Q4,Funcionário 43,CC4733,Média,4468.36,11773.2125,Friday,43,652,Médio,0.201,115,1603181.3,13940.71,12800.29,373.99,47535.6,800.0
TXN0006,2023-10-28,Comunicação,Capacitação,Receita,13010.61,Zeta Equipamentos,Pendente,Transação 6 - Combustível,10,2023,Q4,Funcionário 23,CC4432,Baixa,13010.61,10687.19375,Saturday,43,651,Alto,0.641,123,1947218.55,15831.05,12704.44,201.77,47767.92,360.0
TXN0007,2024-05-07,Financeiro,Consultoria,Transferência,14056.15,Gamma Tecnologia,Pendente,Transação 7 - Serviços,5,2024,Q2,Funcionário 30,CC7216,Média,14056.15,17804.095,Tuesday,19,459,Alto,0.686,104,1679350.5,16147.6,14099.56,178.83,49816.73,315.0
TXN0008,2025-05-24,Jurídico,Material de Escritório,Despesa,8398.55,Empresa Alpha Ltda,Rejeitado,Transação 8 - Alimentação,5,2025,Q2,Funcionário 18,CC2084,Alta,14159.47,16725.45,Saturday,21,77,Alto,0.401,87,1277333.07,14681.99,13824.88,897.98,49781.72,600.0
TXN0009,2025-03-10,Infraestrutura,Alimentação,Transferência,4788.7,Theta Sistemas,Pendente,Transação 9 - Capacitação,3,2025,Q1,Funcionário 9,CC5040,Baixa,4788.7,12941.95571428571,Monday,11,152,Médio,0.217,96,1303588.45,13579.05,12247.72,114.92,47613.09,784.0
TXN0010,2025-03-04,Educação,Alimentação,Transferência,4014.85,Eta Manutenção,Rejeitado,Transação 10 - Manutenção,3,2025,Q1,Funcionário 9,CC9348,Média,8483.21,13323.42705882353,Tuesday,10,158,Médio,0.179,115,1603181.3,13940.71,12800.29,373.99,47535.6,822.0
TXN0011,2023-11-09,Tecnologia da Informação,Serviços,Transferência,12930.43,Eta Manutenção,Aprovado,Transação 11 - Alimentação,11,2023,Q4,Funcionário 25,CC8668,Baixa,12930.43,11970.14636363636,Thursday,45,639,Alto,0.634,119,1688055.08,14185.34,13089.13,104.28,47957.4,367.0
TXN0012,2024-04-21,Recursos Humanos,Equipamentos,Transferência,12925.62,Iota Materiais,Rejeitado,Transação 12 - Combustível,4,2024,Q2,Funcionário 8,CC5808,Média,54349.99000000001,15357.538,Sunday,16,475,Alto,0.633,89,1279819.63,14380.0,11595.07,161.24,45740.14,368.0
